Abbreviation,FactorName,FactorCategory,DonorHb_Cat,Base_Pre,Base_Pre_SE,Full_Pre,Full_Pre_SE,Base_Post,Base_Post_SE,Full_Post,Full_Post_SE,Base_Diff,Base_Diff_SE,Base_Diff_LCL,Base_Diff_UCL,Full_Diff,Full_Diff_SE,Full_Diff_LCL,Full_Diff_UCL,Storage_Cat,DonorSex,DonorParity,wdy_donation
FIO2(u),DonorHb_Cat,4,4,37.135196169,0.4584871346,37.49045536,0.4568683887,37.38620333,0.4584803719,37.701003253,0.4568750599,0.2510071613,0.648393942,-1.019844965,1.5218592877,0.2105478935,0.6461141888,-1.055835917,1.4769317036,,,,
FIO2(u),DonorHb_Cat,5,5,38.334615737,0.4629827322,38.7079598,0.4613459984,38.585622898,0.4629766206,38.918507694,0.4613532888,0.2510071613,0.6547521374,-1.032307028,1.5343213507,0.2105478935,0.652446923,-1.068248076,1.4893438626,,,,
FIO2(u),Storage_Cat,1,,37.220264373,0.4683518927,37.048281214,0.4648204492,37.450909739,0.4683457618,37.228860681,0.4648283565,0.2306453654,0.6623452634,-1.067551351,1.5288420816,0.1805794677,0.6573609746,-1.107848043,1.4690069779,1,,,
FIO2(u),Storage_Cat,2,,37.351668262,0.4680536887,37.302990797,0.4645178164,37.582313627,0.4680471531,37.483570265,0.4645251114,0.2306453654,0.6619232531,-1.066724211,1.5280149415,0.1805794677,0.6569325543,-1.107008339,1.4681672741,2,,,
FIO2(u),Storage_Cat,3,,37.382406277,0.4681589813,37.394977726,0.464623711,37.613051643,0.4681525122,37.575557194,0.4646309865,0.2306453654,0.6620722064,-1.067016159,1.5283068899,0.1805794677,0.6570822981,-1.107301837,1.4684607719,3,,,
FIO2(u),Storage_Cat,4,,37.414921187,0.468582563,37.233351206,0.4650367053,37.645566553,0.4685752214,37.413930674,0.4650428513,0.2306453654,0.6626706244,-1.068189058,1.5294797892,0.1805794677,0.6576655615,-1.108445033,1.4696039683,4,,,
FIO2(u),Storage_Cat,5,,35.621816183,0.470309954,35.620064783,0.4667517122,35.852461548,0.4703047502,35.800644251,0.4667593397,0.2306453654,0.6651150359,-1.072980105,1.5342708357,0.1805794677,0.6600919951,-1.113200843,1.4743597781,5,,,
FIO2(u),DonorSex,1,,37.140717917,0.4586680317,37.466992726,0.456938741,37.38721941,0.4586619898,37.673895026,0.4569457916,0.2465014939,0.6486502788,-1.024853053,1.5178560404,0.2069022996,0.6462139502,-1.059677043,1.473481642,,1,,
FIO2(u),DonorSex,2,,37.400122426,0.4586834754,37.736483973,0.4569525126,37.64662392,0.4586770116,37.943386272,0.4569590453,0.2465014939,0.6486718212,-1.024895276,1.5178982634,0.2069022996,0.64623306,-1.059714498,1.4735190973,,2,,
FIO2(u),DonorParity,0,,37.156660453,0.4586482554,37.480238044,0.4569279156,37.404235396,0.4586422707,37.687825174,0.4569350302,0.2475749435,0.6486223514,-1.023724865,1.5188747522,0.2075871294,0.6461986861,-1.058962295,1.4741365542,,,0,
FIO2(u),DonorParity,1,,37.480529447,0.4587085737,37.814751277,0.4569867091,37.728104391,0.4587017531,38.022338407,0.4569928843,0.2475749435,0.6487070632,-1.0238909,1.5190407874,0.2075871294,0.6462811683,-1.059123961,1.4742982193,,,1,
FIO2(u),wdy_donation,1,,27.642467968,0.8341293618,27.846267373,0.8306492934,27.891972517,0.8341442676,28.055361679,0.83066925,0.2495045498,1.1796475963,-2.062604739,2.5616138385,0.2090943054,1.1747296078,-2.093375726,2.5115643367,,,,1
